city,country,housing,cost of living,startups,venture capital,travel connectivity,commute,business freedom,safety,healthcare,education,environmental quality,economy,taxation,internet access,leisure & culture,tolerance,outdoors,lat,lng,iso3,population,mcmeal_combo,avg_monthly_net_salary,internet_60mbps
Caracas,Venezuela,4.9025,9.82,3.0535,0.0,1.3235,4.544250000000001,1.0,5.221,4.178333333333334,0.0,2.2725,1.978,4.180000000000001,1.6415000000000002,4.38,4.5504999999999995,4.0985,10.4806,-66.9036,VEN,3242000.0,10.0,185.12,49.38
Casablanca,Morocco,8.822,9.088,3.0974999999999997,0.0,2.9145,4.26,5.614333333333333,6.775500000000001,4.47,0.0,2.2555000000000005,3.1735,3.2994999999999997,2.067,2.6830000000000003,2.945,3.9935,33.5333,-7.5833,MAR,3215935.0,6.14,470.72,36.34
Chattanooga,United States,6.782,6.121,3.909499999999999,2.228,1.2095,0.7969999999999999,8.671,4.468,6.2429999999999986,3.6245,7.1515,6.5145,4.772,8.365,4.1625,4.7925,3.908,35.066,-85.2481,USA,410795.0,9.0,4196.1,65.71
Chennai,India,10.0,10.0,7.104,3.782000000000001,4.208,4.8420000000000005,3.617999999999999,7.837000000000001,4.074666666666666,0.5115000000000001,2.3945000000000007,5.5565,3.4145,6.825500000000001,2.2275,4.550000000000001,4.198,13.0825,80.275,IND,12395000.0,4.91,552.68,9.48
Chicago,United States,3.702,4.766000000000001,9.513,8.368,5.5075,4.57975,8.671,3.832,6.215999999999998,7.999,6.8045,6.5145,4.062,6.599499999999999,8.193,6.1339999999999995,5.4155,41.8375,-87.6866,USA,8489066.0,10.0,4819.49,62.56
Chisinau,Moldova,9.6765,9.343,3.0535,0.0,1.6025,5.495,5.443333333333333,7.627999999999999,5.065999999999999,1.3995,4.3382499999999995,3.9765000000000006,6.2325,5.3615,2.7120000000000006,6.646999999999999,3.121,47.0228,28.8353,MDA,639000.0,4.87,448.7,9.02
Christchurch,New Zealand,6.934000000000001,5.096,1.5355000000000003,0.0,0.8334999999999999,5.51775,10.0,7.584999999999999,8.312333333333333,4.756,9.2565,5.505500000000001,5.9315,5.922,3.223500000000001,8.403500000000001,6.269,-43.5311,172.6361,NZL,383200.0,8.34,3327.32,49.09
Cincinnati,United States,6.6775,6.1080000000000005,6.0995,2.7089999999999996,1.9265,4.743500000000001,8.671,4.975,6.345999999999999,4.2805,7.1095,6.5145,3.9205,6.512000000000001,6.118000000000001,5.2989999999999995,3.6075,39.1413,-84.506,USA,1704916.0,7.75,3621.99,57.5
Cluj-Napoca,Romania,9.165,8.794,3.4094999999999995,1.8990000000000005,1.7625000000000002,5.876,5.681666666666667,9.4745,6.434333333333333,2.4480000000000004,6.40075,4.103,6.8389999999999995,8.6655,2.6275000000000004,8.624,4.255,46.7667,23.5833,ROU,286598.0,5.35,873.53,8.4
Cologne,Germany,6.5265,5.606999999999999,5.1065000000000005,3.2780000000000005,7.282000000000001,5.381749999999999,9.072333333333331,6.6295,8.04,5.1034999999999995,6.48,5.373500000000001,3.9035,5.666,5.3225,6.7115,5.289000000000001,50.9364,6.9528,DEU,1087353.0,9.48,2480.27,35.39
Colorado Springs,United States,6.4995,5.375,4.267,2.147,1.266,1.7352500000000004,8.671,5.3774999999999995,5.843999999999999,3.6245,8.526500000000002,6.5145,4.346,5.9225,3.812,9.206,7.356499999999999,38.8674,-104.7605,USA,638421.0,10.0,4563.77,75.0
Copenhagen,Denmark,4.227,3.426,6.206999999999999,4.467,6.3,6.2955000000000005,9.94,9.1525,7.985333333333334,5.301,8.27225,4.886500000000001,5.0680000000000005,7.239500000000001,7.063000000000001,9.0955,4.671000000000001,55.6805,12.5615,DNK,1366301.0,12.05,3670.25,37.29
Cork,Ireland,5.514500000000001,4.902,3.9875,2.8699999999999997,2.3615,5.504250000000001,8.345666666666666,8.839500000000001,7.426333333333334,4.879,8.012750000000002,7.514500000000001,6.254999999999999,9.143999999999998,2.5315,8.630500000000001,0.5,51.9,-8.4731,IRL,222333.0,9.48,2881.42,52.61
Curitiba,Brazil,9.4295,8.433,2.912,2.148,0.8900000000000001,4.950250000000001,2.781,5.9465,5.897,1.0165000000000002,7.75725,2.187,2.8525,3.1420000000000003,7.1875,7.848000000000001,2.6655,-25.4297,-49.2719,BRA,1773718.0,5.75,492.89,22.55
Dar es Salaam,Tanzania,7.652000000000001,8.026,2.6875000000000004,3.191,1.4535,2.07575,3.2886666666666664,6.1005,3.238666666666667,0.0,2.0802500000000004,5.499999999999999,4.497000000000001,1.11,1.205,2.7665,4.3535,-6.8161,39.2803,TZA,7962000.0,6.64,264.32,44.53
Delhi,India,9.752,9.869,9.828500000000002,9.099000000000002,5.642,3.71225,3.617999999999999,6.4185,3.7126666666666663,0.512,2.2030000000000003,5.5565,3.4145,3.588,5.683,3.115999999999999,1.1785,28.61,77.23,IND,32226000.0,4.3,586.46,7.95
Denver,United States,3.8375,5.102,7.8645,6.117,4.243,4.530000000000001,8.671,5.371,6.220333333333333,3.6245,7.11675,6.5145,4.346,5.418500000000001,6.2235,7.860499999999999,7.932999999999999,39.762,-104.8758,USA,2691349.0,9.4,5565.78,73.23
Detroit,United States,6.223000000000001,6.032,5.4015,5.183999999999999,3.6405,0.933,8.671,4.4615,5.786333333333332,5.8185,4.04675,6.5145,3.7785,6.167000000000002,7.478,3.678,5.387499999999999,42.3834,-83.1024,USA,3716929.0,8.75,3926.67,72.0
Doha,Qatar,2.1315,6.183,2.6875000000000004,0.0,2.6425,4.61625,7.408333333333332,9.486,7.4336666666666655,1.4335,3.94175,9.39,10.0,3.245,4.6205,5.0625,4.436999999999999,25.2867,51.5333,QAT,1186023.0,6.87,3342.4,90.49
Dresden,Germany,7.884500000000001,6.0280000000000005,2.4065,1.533,3.536000000000001,4.959999999999999,9.072333333333331,8.463999999999999,8.393666666666666,5.124500000000001,8.110750000000001,5.373500000000001,3.9035,5.6035,6.6385,7.369,4.649,51.05,13.74,DEU,566222.0,8.96,2579.58,32.9
Dubai,United Arab Emirates,2.591,5.49,7.309000000000001,4.183,4.508,4.2284999999999995,8.036999999999999,9.172,6.3919999999999995,2.28,6.035500000000001,7.885999999999999,10.0,3.151,4.6705,5.426500000000001,5.7985,25.2631,55.2972,ARE,3331420.0,8.17,4322.14,97.02
Dublin,Ireland,2.5124999999999997,4.005000000000001,5.651,6.204,4.7615,5.44625,8.345666666666666,7.121499999999999,6.8103333333333325,5.6065,6.5015,7.514500000000001,6.254999999999999,8.3435,7.134500000000001,7.328,5.664,53.3497,-6.2603,IRL,592713.0,10.01,3177.2,59.14
Dusseldorf,Germany,6.282000000000001,5.1339999999999995,3.389,2.2300000000000004,6.6695,5.283000000000001,9.072333333333331,8.166,8.003666666666666,4.306500000000001,7.375499999999999,5.373500000000001,3.9035,5.666,4.664000000000001,7.868499999999999,5.3585,51.2256,6.7767,DEU,631217.0,9.48,3245.42,32.03
Edinburgh,United Kingdom,5.8450000000000015,5.114,4.109,3.3369999999999997,5.185,5.967500000000001,8.991999999999999,8.485,8.552333333333332,6.092500000000001,7.763,5.438,5.9545,5.1755,7.200500000000001,7.922000000000001,5.131,55.95,-3.1833,GBR,488050.0,7.38,2761.09,34.38
Edmonton,Canada,6.729500000000001,5.522,4.6240000000000006,2.392,1.9019999999999997,5.09725,8.966,7.1175000000000015,8.269,5.948,8.17575,5.8405000000000005,7.2745000000000015,4.609999999999999,3.974,7.9255,3.385,53.5344,-113.4903,CAN,1151635.0,8.89,3403.02,59.09
Eindhoven,Netherlands,6.252000000000001,5.125,3.5405,3.0170000000000003,4.807499999999999,6.031750000000001,8.836666666666666,9.107,8.559333333333333,5.0805,8.805,5.053000000000001,4.954999999999999,7.658999999999999,4.333500000000001,9.3425,4.628,51.4344,5.4842,NLD,243730.0,10.54,3566.2,42.35
Eugene,United States,6.713,5.021,3.0865000000000005,1.964,1.192,5.627000000000001,8.671,6.171500000000001,6.566666666666666,4.1735,8.231,6.5145,3.9205,4.756000000000001,2.9560000000000004,8.9695,3.533,44.0564,-123.1174,USA,272737.0,9.0,3050.0,61.33
Florence,Italy,6.775,4.649,2.2274999999999996,0.0,4.306,6.0287500000000005,6.189666666666666,7.9725,8.163666666666666,4.058000000000001,6.009000000000001,3.3625,2.4365,4.4415,8.503499999999999,6.7355,1.6769999999999998,43.7714,11.2542,ITA,360930.0,9.75,1491.05,31.04
Florianopolis,Brazil,9.0595,8.331000000000001,1.0,0.0,0.683,4.78775,2.781,6.5249999999999995,5.432999999999999,1.0165000000000002,4.943999999999999,2.187,2.8525,3.185,5.33,7.637500000000001,5.7509999999999994,-27.5933,-48.553,BRA,342315.0,6.71,415.52,22.36
Fort Collins,United States,2.744500000000001,0.0,4.0435,0.0,1.102,2.0075000000000003,8.671,6.935499999999999,6.8309999999999995,4.1735,9.95325,6.5145,4.346,5.301999999999999,2.746,9.48,6.1865000000000006,40.5477,-105.0656,USA,339256.0,8.0,4277.78,59.98
Frankfurt,Germany,5.957,5.143,3.768,3.398999999999999,8.529,5.923,9.072333333333331,6.8375,7.707333333333334,5.2065,6.4755,5.373500000000001,3.9035,4.079,6.492,7.0345,5.384,50.1106,8.6822,DEU,775790.0,9.05,3365.64,38.65
Fukuoka,Japan,4.01,0.0,1.484,1.79,6.172499999999999,0.0,8.389666666666667,9.945,9.098,5.5275,7.916,3.7235,6.0329999999999995,4.575000000000001,5.8605,7.259,5.6815,33.59,130.4017,JPN,2286000.0,5.21,1646.81,36.03
Galway,Ireland,6.275500000000001,4.9270000000000005,2.5380000000000003,2.556,2.3615,5.68975,8.345666666666666,8.89,7.069999999999999,5.0075,7.51875,7.514500000000001,6.254999999999999,7.637499999999999,1.1150000000000002,8.700499999999998,3.712499999999999,53.2729,-9.0418,IRL,83456.0,9.48,2433.67,50.58
